Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,822.000000,837.200012,802.000000,806.400024,806.400024,1191168
2021-09-20,796.599976,806.518005,785.599976,788.200012,788.200012,1061129
2021-09-21,792.799988,798.000000,783.200012,790.000000,790.000000,613473
2021-09-22,791.200012,801.799988,785.200012,792.000000,792.000000,688295
2021-09-23,790.000000,799.000000,781.505005,782.400024,782.400024,732955
2021-09-24,781.200012,790.599976,780.080994,785.000000,785.000000,494717
2021-09-27,790.799988,801.614014,784.400024,792.000000,792.000000,1093454
2021-09-28,791.000000,792.000000,767.400024,769.799988,769.799988,864333
2021-09-29,772.400024,782.200012,763.135986,765.200012,765.200012,2284667
2021-09-30,767.400024,782.799988,760.150024,781.400024,781.400024,967563
2021-10-01,773.599976,794.000000,769.281006,777.000000,777.000000,771975
2021-10-04,778.200012,791.000000,773.096008,782.000000,782.000000,521131
2021-10-05,781.200012,789.000000,772.799988,778.000000,778.000000,1015711
2021-10-06,774.799988,802.599976,765.200012,796.000000,796.000000,1364806
2021-10-07,798.200012,822.200012,798.200012,807.599976,807.599976,902419
2021-10-08,806.200012,822.400024,806.200012,809.400024,809.400024,1370679
2021-10-11,808.400024,829.799988,806.599976,811.400024,811.400024,745250
2021-10-12,804.200012,821.400024,803.754028,816.799988,816.799988,1494570
2021-10-13,819.000000,838.400024,812.400024,833.400024,833.400024,1166216
2021-10-14,833.599976,853.799988,831.200012,846.200012,846.200012,817700
2021-10-15,850.000000,855.599976,831.599976,845.599976,845.599976,931100
2021-10-18,850.000000,874.400024,845.599976,863.000000,863.000000,1221350
2021-10-19,872.200012,888.599976,872.200012,887.599976,887.599976,1231031
2021-10-20,890.000000,900.000000,883.000000,897.400024,897.400024,948882
2021-10-21,896.400024,899.799988,882.400024,898.799988,898.799988,1188933
2021-10-22,905.000000,920.000000,896.599976,916.599976,916.599976,1096637
2021-10-25,913.400024,924.200012,900.799988,923.000000,923.000000,790872
2021-10-26,923.000000,927.023987,883.599976,886.000000,886.000000,1225636
2021-10-27,889.200012,894.721985,851.599976,855.000000,855.000000,1847873
2021-10-28,855.000000,891.000000,854.400024,872.799988,872.799988,1032364
2021-10-29,868.200012,881.437012,851.599976,863.200012,863.200012,1679525
2021-11-01,869.400024,902.200012,851.973022,885.400024,885.400024,751914
2021-11-02,885.400024,890.711975,847.200012,852.799988,852.799988,713411
2021-11-03,855.000000,878.400024,850.200012,876.799988,876.799988,877044
2021-11-04,886.000000,905.000000,873.400024,895.400024,895.400024,1113579
2021-11-05,898.799988,906.000000,891.400024,901.000000,901.000000,702104
2021-11-08,905.000000,932.093994,904.870972,925.799988,925.799988,939099
2021-11-09,927.000000,940.200012,924.757996,926.400024,926.400024,1089732
